original_filename,reason,n_samples
000468_26R_RY2022_CTRA_NEPA MARCELLUS SHALE OPERATIONS_RWC 810_DRILL CUTTINGS.pdf,all_unknown_metadata,4
000736_20250708125628692.pdf,all_unknown_metadata,4
000740_230105_B09-I_Anthony_7-03-0-042-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,all_unknown_metadata,9
000741_230105_B09-I_Fragale_7-03-0-006-002-000_S1_Master EDD.pdf,all_unknown_metadata,7
000743_230105_B09-I_Rosenberger_7-03-0-033-000-CG-000_W1_Master EDD.pdf,all_unknown_metadata,6
000744_230105_B09-I_Seneca Resources_7-03-0-005-001-000_S1_Master EDD.pdf,all_unknown_metadata,4
000746_B09-I_Anthony_7-03-0-042-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,all_unknown_metadata,14
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,overlapping_page_ranges,71
000874_Appendix-2-26-R-Conv-Brine-Summary-of-All-Results-20160517-raw-data.pdf,all_unknown_metadata,12
001065_SWNPC_26R_RY2023_RWC 802_PRODUCED FLUID (EASTERN O&G DISTRICT) (1).pdf,overlapping_page_ranges,19
001425_SWRO Form 26R 2023.pdf,overlapping_page_ranges,17
001426_LOLA 2023 26R Waste Report.pdf,overlapping_page_ranges,41
002265_SW 2015 26R- Greene County 810 - Drill Cuttings- Koloski.pdf,overlapping_page_ranges,7
002805_Form 26R_Neumann_899_2019.pdf,all_unknown_metadata,20
002928_26R_RY2021_CTRA_NEPA MARCELLUS SHALE OPERATIONS_RWC 802_PRODUCED FLUID.pdf,all_unknown_metadata,5
002930_30299287_JB.pdf,overlapping_page_ranges,2
