pad_WELL_PAD_ID,pad_WELL_PAD,CLIENT,COUNTY,n_waste_records,total_tons,total_bbls,first_period,last_period,included
145213,R SMITH,CHESAPEAKE APPALACHIA LLC,Washington,80,,,Aug 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151394,JOHNSTON,EQT PROD CO,Greene,51,,,Aug 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153509,ROUGH HOLLOW,EQT PROD CO,Greene,41,647.743.33,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
148479,Haywood,CHESAPEAKE APPALACHIA LLC,Washington,34,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153044,STROPE,EQT PROD CO,Greene,33,175.73900.41,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153429,COGAR,EQT PROD CO,Washington,29,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145410,BIG SKY,EQT PROD CO,Greene,28,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
149501,HARBISON,CHESAPEAKE APPALACHIA LLC,Washington,26,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
150730,PETTIT,EQT PROD CO,Greene,24,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151031,HABE,VANTAGE ENERGY APPALACHIA II LLC,Greene,23,2.756.07869.09,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151691,MAGNUM,RICE DRILLING B LLC,Greene,23,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
144572,CONNORS,EQT PROD CO,Greene,22,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153147,RIVER,EQT PROD CO,Greene,21,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153393,HENDERSON,EQT PROD CO,Greene,21,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145672,BERNARD MCCULLEY WAS,CHESAPEAKE APPALACHIA LLC,Washington,21,,,Jul 2023 (WASTE: Unconventional wells),Oct 2023 (WASTE: Unconventional wells),True
148982,OLIVER EAST,EQT PROD CO,Allegheny,20,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145801,SHIPMAN,EQT PROD CO,Greene,20,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
152381,GREENE HILL,EQT PROD CO,Greene,20,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
152183,GOLDEN GOOSE,RICE DRILLING B LLC,Washington,20,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153541,HARRIS,EQT PROD CO,Greene,20,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153847,HUFFMAN,EQT PROD CO,Greene,20,2.079.36,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
152379,WILEY 1H,VANTAGE ENERGY APPALACHIA II LLC,Greene,20,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
153710,OLCZAK,EQT PROD CO,Greene,19,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
150743,KOCI,EQT PROD CO,Washington,16,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
156406,RHL31 WELL PAD,CNX GAS CO LLC,Greene,16,,,Dec 2022 (WASTE: Unconventional wells),Dec 2022 (WASTE: Unconventional wells),True
144730,JAMES M RICE PAD A,CHESAPEAKE APPALACHIA LLC,Greene,15,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145143,SANDERS,EQT PROD CO,Greene,15,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Nov 2020 (WASTE: Unconventional wells),True
145467,PHILLIPS,EQT PROD CO,Greene,15,,,Feb 2019 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
