original_filename,lab_report_id,pad_WELL_PAD_ID,source,status,notes,confidence,loc_score,project_name,lab_name,client_name,set_name,first_page
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,7H24003,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,Fairway Laboratories,EQT Production Company,2010-2018,372
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,6L22025-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,385
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,7H24003-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,375
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,6L08029,153402,auto,approved,,medium,136.22300720214844,PRENTICE,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,330
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,7J09002-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE,Fairway Laboratories,EQT Production Company,2010-2018,399
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,6L30038,153402,auto,approved,,medium,136.22300720214844,PRENTICE,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,343
004735_EQT Corporation 26R Annual Report_SW_1 of 4.pdf,6L22025,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,Fairway Laboratories,EQT Production Company,2010-2018,390
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,7J09002,153402,auto,approved,,medium,136.22300720214844,PRENTICE,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9016
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,8D23001,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9026
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,8D23001-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9037
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,8C26006-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9039
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,8C08227,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,Fairway Laboratories,EQT Production Company,2019-2020,2779
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,6L30038,153402,auto,approved,,medium,136.22300720214844,PRENTICE,Fairway Laboratories,EQT Production Company,2019-2020,8970
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,7H24003,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,Fairway Laboratories,EQT Production Company,2019-2020,8985
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,6L08029,153402,auto,approved,,medium,136.22300720214844,PRENTICE,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,8956
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,6L22025-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE PAD,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9005
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,7J09002-01,153402,auto,approved,,medium,136.22300720214844,PRENTICE,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9012
000862_Veres Production 802.pdf,5E11037,150733,auto,approved,,medium,136.22300720214844,VERES,Fairway Laboratories,Energy Corporation of America,2010-2018,6
"001328_BarnesAJMorris,Veres,SGL223.pdf",,150733,auto,approved,,medium,68.11100006103516,PRODUCTION WATER,FAIRWAY LABORATORIES,"Greylock Energy, LLC",2019-2020,2
005221_5E11037_2 2014_Standard_Format_v1a 09 21 16 0936.pdf,5E11037,150733,auto,approved,,medium,136.22300720214844,VERES,FAIRWAY LABORATORIES,Energy Corporation of America,2010-2018,1
004738_EQT Corporation 26R Annual Report_SW_4 of 4.pdf,7L12025-01,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,124
004738_EQT Corporation 26R Annual Report_SW_4 of 4.pdf,7J09099,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,Fairway Laboratories,EQT Production Company,2010-2018,110
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,7L12025-01,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,10729
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,6H26002-01,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9226
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,7J09099-01,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9233
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,8J05052,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9260
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,7L12025,153071,auto,rejected,,medium,136.22300720214844,ROSTOSKY,Fairway Laboratories,EQT Production Company,2019-2020,10723
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,6H04066,153071,auto,approved,,medium,136.22300720214844,ROSTOSKY,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,9214
002331_SW 2015 26R- Washington County 810 - Drill Cuttings- Robert Smith.pdf,5F01007,145213,auto,approved,,medium,87.572998046875,R. SMITH,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,30
002331_SW 2015 26R- Washington County 810 - Drill Cuttings- Robert Smith.pdf,5020056,145213,auto,approved,,medium,87.572998046875,R. SMITH PAD DRILL CUTTI,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,32
002319_SW 2015 26R- Washington County 804 - Fracing Fluid- Robert Smith.pdf,57206/37,145213,auto,approved,,medium,87.572998046875,R. SMITH,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,11
002331_SW 2015 26R- Washington County 810 - Drill Cuttings- Robert Smith.pdf,,145213,auto,approved,,medium,87.572998046875,R. SMITH PAD DRILL CUTTI,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,34
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,30162221,145213,auto,approved,,medium,121.8550033569336,EQT ROBERT SMITH,"Pace Analytical Services, Inc.",EQT ROBERT SMITH,2010-2018,1185
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,30162220,145213,auto,approved,,medium,121.8550033569336,EQT ROBERT SMITH,"Pace Analytical Services, Inc.",Waste Management,2010-2018,1150
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,30162220,145213,auto,approved,,medium,121.8550033569336,EQT ROBERT SMITH,"Pace Analytical Services, Inc.",,2019-2020,5310
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,30162221,145213,auto,approved,,medium,121.8550033569336,EQT ROBERT SMITH,"Pace Analytical Services, Inc.",Waste Management,2019-2020,5322
002328_SW 2015 26R- Washington County 810 - Drill Cuttings- J. Moninger.pdf,5A26010-01,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,267
002326_SW 2015 26R- Washington County 810 - Drill Cuttings- Harbison.pdf,5A26010,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,Fairway Laboratories,EQT Production Company,Jul_Dec_2025,47
002242_SW 2015 26R- Greene County 804 - Fracing Fluid- Moore.pdf,HARBISON,149501,auto,approved,,medium,136.22300720214844,HARBISON,Fairway Laboratories,EQT Production Company,Jul_Dec_2025,190
002257_SW 2015 26R- Greene County 810 - Drill Cuttings- Beazer.pdf,5A26010-01,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,267
002231_SW 2015 26R- Greene County 804 - Fracing Fluid- Christen.pdf,HARBISON,149501,auto,approved,,medium,68.11100006103516,,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,191
002244_SW 2015 26R- Greene County 804 - Fracing Fluid- Ostrich.pdf,5K12012-01,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,190
002267_SW 2015 26R- Greene County 810 - Drill Cuttings- Scotts Run.pdf,5A26010-01,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,267
002327_SW 2015 26R- Washington County 810 - Drill Cuttings- Haywood.pdf,5A26010-01,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,"Fairway Laboratories, Inc.",EQT Production Company,Jul_Dec_2025,268
002234_SW 2015 26R- Greene County 804 - Fracing Fluid- D. Tharp.pdf,HARBISON,149501,auto,approved,,medium,68.11100006103516,,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,192
002253_SW 2015 26R- Greene County 804 - Fracing Fluid- Walker B.pdf,5K12012-01,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,190
002312_SW 2015 26R- Washington County 804 - Fracing Fluid- Harbison.pdf,5K12012,149501,auto,approved,,medium,136.22300720214844,HARBISON,Fairway Laboratories,EQT Production Company,Jul_Dec_2025,11
002233_SW 2015 26R- Greene County 804 - Fracing Fluid- Cooper.pdf,5K12012-01,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,190
002255_SW 2015 26R- Greene County 804 - Fracing Fluid- White.pdf,HARBISON,149501,auto,approved,,medium,68.11100006103516,,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,190
002326_SW 2015 26R- Washington County 810 - Drill Cuttings- Harbison.pdf,5D10102,149501,auto,approved,,medium,68.11100006103516,PEN 15 PAD,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,46
002239_SW 2015 26R- Greene County 804 - Fracing Fluid- Johnston.pdf,5K12012-01,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,190
002228_SW 2015 26R- Greene County 804 - Fracing Fluid- Atcheson.pdf,HARBISON,149501,auto,approved,,medium,68.11100006103516,,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,190
002254_SW 2015 26R- Greene County 804 - Fracing Fluid- West Run.pdf,5K12012,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,Jul_Dec_2025,211
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,7A06001,149501,auto,approved,,medium,136.22300720214844,HARBISON,Fairway Laboratories,EQT Production Company,2010-2018,1633
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,7A06003,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,1660
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,7K24002,149501,auto,approved,,medium,136.22300720214844,HARBISON,Fairway Laboratories,EQT Production Company,2010-2018,770
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,7L05027,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,Fairway Laboratories,EQT Production Company,2010-2018,1091
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,7L05027-01,149501,auto,approved,,medium,136.22300720214844,HARBISON PAD,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,1084
004737_EQT Corporation 26R Annual Report_SW_3 of 4.pdf,7106039,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,2010-2018,1646
000813_SW_EQT 2018 Annual_2-21-19_VOL4of4.red.pdf,6113003,149501,auto,approved,,medium,136.22300720214844,HARBISON,FAIRWAY LABORATORIES,EQT Production Company,2019-2020,5845
