pad_WELL_PAD_ID,pad_WELL_PAD,CLIENT,COUNTY,n_waste_records,total_tons,total_bbls,first_period,last_period,included
153402,PRENTICE,EQT PROD CO,Allegheny,74,19.26473556.26505.12954.9249.9742.46164.63244.65391.85417.38635.328.79652.838.15414.23526.75247.733.68348.811.8118.191255.013.6713.46.067.7310.05853.6425.3120.12132.223.1132.223.11132.2315.44.847.26514.6925.88744.791016.285.07445.48497.25441.138.82.73562986.7318.4326.03402.0310.956.8570.22347.2270.418.181060.487.53907.83.19386.955.26928.622.57436.151.91426.14287.61648.1635.96,,Apr 2018 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
150733,VERES,ENERGY CORP OF AMER,Greene,58,1.34112.761.34112.761.34112.761.34112.761.34112.761.34112.761.34112.761.34112.761.34112.761.2311.3427.141.2311.3427.141.2411.3527.141.2411.3527.141.2311.3427.141.2311.3427.141.2311.3427.141.2311.3427.141.2411.3527.141.621.621.621.621.621.621.621.621.6299.71658.8549.97689.51,,Jan-Jun 2015 (WASTE ONLY: Unconventional Wells),May 2018 (WASTE: Unconventional wells),True
153071,ROSTOSKY,EQT PROD CO,Allegheny,54,848.2841.3754.6674.45814.97749.210.3648.720.834.911163.16739.942.9426.6605.11720.95662.358.6919.753.043.044.124.122.674.22746.7916.820.25.737.175.614.772.627.549.8920.12238.51.752.11501.043.43184.7611.084.694.694.698940.62274.438.121244.454.816.871.06,,Apr 2017 (WASTE: Unconventional wells),Sep 2017 (WASTE: Unconventional wells),True
145213,R SMITH,CHESAPEAKE APPALACHIA LLC,Washington,51,457.5536.583.585123726.94531.9826.94531.9826.94531.9826.94531.9826.94531.9845.281228.99104.5213.4715.022.3148.07488.55160.6343.18562.65407.3171.984.37164.776.181053.71.88154.463.3980.137.154.93668.9838.03936.63719.4312.0228.8610.015.24783.85.446.79316.2869.31,,Aug 2017 (WASTE: Unconventional wells),Oct 2017 (WASTE: Unconventional wells),True
149501,HARBISON,CHESAPEAKE APPALACHIA LLC,Washington,43,23.1423.1446.2823.1423.1423.1423.1420.62242.4222.9413.1119.62332.39251.621015.96188.6692.45297.84502.78469.5713.7913.186.0561.637.981714.6143.171190.64147.7535.6832.6175.8411.072.1415.722.142.14694.551375.14981.325.3648.17,,Apr 2018 (WASTE: Unconventional wells),Sep 2017 (WASTE: Unconventional wells),True
153429,COGAR,EQT PROD CO,Washington,43,457.929.09554.29659.02320.84780.29532.235.39492.01120.991201.82956.03115.59536.2233.51253.89894.08384.24937.65884.5917.14745.47866.87452.18280.492.02902.8566.1116.3138.4664.92743.3713.6447.52123.822.78273.17590.34295.29930.92867.321322.7928.37,,Apr 2017 (WASTE: Unconventional wells),Nov 2017 (WASTE: Unconventional wells),True
145606,KEVECH,EQT PROD CO,Washington,34,132.6211.3911.3911.3912.814.5922.81632.572.57600.25147.557.02509.692.05437.61145.23479.51559.95504.442.85389.3340.6316.83457.39184.099.321273.392.965.65822.091.832.11.31,,Dec 2018 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
154170,FETCHEN,EQT PROD CO,Allegheny,34,559.05341.75199.49230.59154.4175.6220.52355.9323.79466.643.692.956.47215.81425.68.75540.66356.65207.224.692.396.74244.42669.96533.472.365.56333.162.2670.6446.1859.066.141084.29,,Apr 2018 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
145410,BIG SKY,EQT PROD CO,Greene,33,37.737.737.737.775.537.745.8814.933.418.9816.77.850.127.847.857.847.857.847.7468.343.4642.92.6120.1510.860.01,,Apr 2017 (WASTE: Unconventional wells),Nov 2017 (WASTE: Unconventional wells),True
148479,Haywood,CHESAPEAKE APPALACHIA LLC,Washington,31,25.3141.11640.1816.3823.4626.847.7423.941564.763.5507.98392.35512.1613.421206.6720.092.267229.78644.034.832.517.41110.2910.5910.013.27203.710.154.71565.42,,Apr 2018 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
153393,HENDERSON,EQT PROD CO,Greene,27,22.39414.64374.7112.6912.69243.34112.42474.25128.89551142.4681.54627.22263.574.69265.24955.918.29.664.334.41581.6624.85716.48896.3913.613.32,,Apr 2017 (WASTE: Unconventional wells),Nov 2019 (WASTE: Unconventional wells),True
151427,COASTAL GREEN,ENERGY CORP OF AMER,Greene,26,13.4513.4513.4513.451132.43516.54135.66349.19336.34658.56224.93719.8651.65115.55692.91886.13138.88595.35830.14419.14696.69638.96273.73363.38118.151535.98,,Apr 2018 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
149569,WHITE,EQT PROD CO,Greene,25,35.4343.351.312.0353.451.312.0353.451.312.0353.450.121.312.0353.451.312.0353.451.312.0453.456.467.1346.1634.89,,Feb 2018 (WASTE: Unconventional wells),Sep 2017 (WASTE: Unconventional wells),True
151394,JOHNSTON,EQT PROD CO,Greene,24,6.276.2764.9657.7557.7563.7312.665.9739.0845.0239.8423.0423.044.855.975.9721.1845.0140.956.2722.8438.26.78,,Feb 2017 (WASTE: Unconventional wells),Jul-Dec 2016 (WASTE ONLY: Unconventional Wells),True
145746,BROADWATER,ENERGY CORP OF AMER,Greene,24,8.73356.068.73356.068.73356.068.73356.068.73356.068.73356.068.73356.068.73356.0643.6643.6643.6643.6643.6643.6543.6543.65,,Jan-Jun 2015 (WASTE ONLY: Unconventional Wells),Jul - Dec 2014 (Unconventional wells),True
146837,CASHDOLLAR,EQT PRODUCTION CO,WASHINGTON,24,957557.31557.31557.31557.31557.31557.31557.3130.127.631.8459.6910.81398.375.034.2425.8530.713.25512.152.41337.989.5,,Aug 2017 (WASTE: Unconventional wells),Oct 2018 (WASTE: Unconventional wells),True
157777,TORTOLA WELL PAD,INR OPR LLC,Indiana,23,537.3935.85537.390.920.920.920.920.920.40.40.40.40.410.150.150.150.150.155.535.535.535.535.53,,Apr 2024 (WASTE: Unconventional wells),Mar 2025 (WASTE: Unconventional wells),True
150714,CHRISTEN,EQT PROD CO,Greene,22,1060.721083.721155.721036.721331.727248754864323705.9850.0122.24535.3789.1410.718.39641.32674.358.966.4638.88,,Aug 2017 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
151439,SGL 223,ENERGY CORP OF AMER,Greene,21,95.6295.6295.6295.6295.6295.6295.622.342.342.342.342.352.352.350.920.920.920.920.920.920.92,,Jan-Jun 2015 (WASTE ONLY: Unconventional Wells),Jul-Dec 2015 (WASTE ONLY: Unconventional Wells),True
153366,BOVINATOR 1V,RICE DRILLING B LLC,Washington,21,2.94372.814.341341.752.73550.69.83346.4610.81100.032.0784.442.5837.4491.733.6703.97769.2921.87663.6311.92,,Aug 2018 (WASTE: Unconventional wells),Sep 2018 (WASTE: Unconventional wells),True
